fire_start_datetime,start_time,fire_end_datetime,end_time,corrected_address,damage_area,latitude,longitude
2014-03-07,11:50:00,2014-03-07,17:30:00,강원도 영월군 김삿갓면,2.0,37.1256797470207,128.570085899718
2014-03-05,15:07:00,2014-03-05,16:30:00,강원도 춘천시 남면,0.01,37.7321563694312,127.599895449274
2014-03-03,14:12:00,2014-03-03,15:00:00,강원도 원주시 관설동,0.06,37.304900320918,127.998012574194
2014-03-03,11:43:00,2014-03-03,12:50:00,강원도 원주시 흥업면,0.1,37.3025500299786,127.921181194086
2014-02-27,12:30:00,2014-02-27,13:45:00,강원도 횡성군 우천면,0.25,37.4594058323665,128.06243796948
2014-02-04,19:35:00,2014-02-04,21:40:00,강원도 양양군 양양읍,0.5,38.0806715229116,128.624012188104
2015-06-04,06:57:00,2015-06-04,10:26:00,강원도 홍천군 두촌면,2.0,37.8686986720293,128.018956858672
2015-06-03,14:28:00,2015-06-03,19:00:00,강원도 춘천시 남면,1.0,37.7321563694312,127.599895449274
2015-06-03,13:50:00,2015-06-03,18:20:00,강원도 인제군 남면,0.5,37.9659219985446,128.08336017963
2015-06-03,11:58:00,2015-06-03,13:42:00,강원도 횡성군 둔내면,0.1,37.5122165122342,128.218832889124
2015-06-02,15:30:00,2015-06-02,18:00:00,강원도 춘천시 남산면,0.09,37.79186457822,127.646194579037
2015-05-31,19:21:00,2015-06-01,12:00:00,강원도 홍천군 서석면,0.2,37.7135954442631,128.186169902059
2015-05-31,19:02:00,2015-05-31,23:05:00,강원도 횡성군 우천면,0.15,37.4594058323665,128.06243796948
2015-05-31,14:27:00,2015-05-31,18:00:00,강원도 화천군 사내면,0.06,38.0701588123932,127.523433810035
2015-05-31,13:30:00,2015-05-31,18:00:00,강원도 화천군 상서면,0.03,38.1578310622547,127.654248763255
2015-05-31,10:52:00,2015-05-31,16:30:00,강원도 삼척시 하장면,0.5,37.3494432358995,128.943070012541
2015-05-29,15:05:00,2015-05-29,21:50:00,강원도 삼척시 가곡면,0.25,37.1497538953609,129.205212030994
2015-05-28,18:10:00,2015-05-28,19:35:00,강원도 평창군 미탄면,0.3,37.3420792035649,128.495781431646
2015-05-25,01:21:00,2015-05-25,17:00:00,강원도 횡성군 갑천면,0.5,37.5609554668992,128.11019928627
